American Electric Power,AEP,Nicholas K. Akins,http://investing.businessweek.com/research/stocks/people/person.asp?personId=25052545&capId=135470&previousCapId=135470&previousTitle=AMERICAN%20ELECTRIC%20POWER,04-10-2013,03-10-2014
American Express Co,AXP,Kenneth I. Chenault,http://investing.businessweek.com/research/stocks/people/person.asp?personId=169340&capId=92001&previousCapId=92001&previousTitle=AMERICAN%20EXPRESS%20CO,04-10-2013,03-10-2014
American Intl Group Inc,AIG,Robert Herman Benmosche,http://investing.businessweek.com/research/stocks/people/person.asp?personId=243180&capId=250388&previousCapId=250388&previousTitle=AMERICAN%20INTERNATIONAL%20GROUP,04-10-2013,03-10-2014
American Tower Corp A,AMT,James D. Taiclet Jr.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=163397&capId=24766&previousCapId=24766&previousTitle=AMERICAN%20TOWER%20CORP,04-10-2013,03-10-2014
Ameriprise Financial Inc,AMP,James M. Cracchiolo,http://investing.businessweek.com/research/stocks/people/person.asp?personId=169348&capId=4165019&previousCapId=4165019&previousTitle=AMERIPRISE%20FINANCIAL%20INC,04-10-2013,03-10-2014
AmerisourceBergen Corp,ABC,Steven H. Collis,http://investing.businessweek.com/research/stocks/people/person.asp?personId=683886&capId=24809&previousCapId=24809&previousTitle=AMERISOURCEBERGEN%20CORP,04-10-2013,03-10-2014
AMETEK Inc,AME,Frank S. Hermance,http://investing.businessweek.com/research/stocks/people/person.asp?personId=169550&capId=31860&previousCapId=31860&previousTitle=AMETEK%20INC,04-10-2013,03-10-2014
Amgen Inc,AMGN,Robert A. Bradway,http://investing.businessweek.com/research/stocks/people/person.asp?personId=33775218&capId=24816&previousCapId=24816&previousTitle=AMGEN%20INC,04-10-2013,03-10-2014
Amphenol Corp A,APH,R. Adam Norwitt,http://investing.businessweek.com/research/stocks/people/person.asp?personId=9935014&capId=24827&previousCapId=24827&previousTitle=AMPHENOL%20CORP-CL%20A,04-10-2013,03-10-2014
Anadarko Petroleum Corp,APC,R. A. Walker,http://investing.businessweek.com/research/stocks/people/person.asp?personId=358845&capId=251349&previousCapId=251349&previousTitle=ANADARKO%20PETROLEUM%20CORP,04-10-2013,03-10-2014
Analog Devices Inc,ADI,Vincent T. Roche,http://investing.businessweek.com/research/stocks/people/person.asp?personId=1664284&capId=251411&previousCapId=251411&previousTitle=ANALOG%20DEVICES%20INC,04-10-2013,03-10-2014
Aon plc,AON,Gregory C. Case,http://investing.businessweek.com/research/stocks/people/person.asp?personId=21933350&capId=119853&previousCapId=119853&previousTitle=AON%20PLC,04-10-2013,03-10-2014
Apache Corp,APA,G. Steven Farris,http://investing.businessweek.com/research/stocks/people/person.asp?personId=169842&capId=169838&previousCapId=169838&previousTitle=APACHE%20CORP,04-10-2013,03-10-2014
Apartment Investment & Mgmt,AIV,Terry   Considine J.D.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=252391&capId=204640062&previousCapId=336458&previousTitle=APARTMENT%20INVT%20%26%20MGMT%20CO%20-A,04-10-2013,03-10-2014
Apple Inc.,AAPL,Timothy D. Cook,http://investing.businessweek.com/research/stocks/people/person.asp?personId=169600&capId=24937&previousCapId=24937&previousTitle=APPLE%20INC,04-10-2013,03-10-2014
Applied Materials Inc,AMAT,Gary E. Dickerson,http://investing.businessweek.com/research/stocks/people/person.asp?personId=282233&capId=251230&previousCapId=251230&previousTitle=APPLIED%20MATERIALS%20INC,04-10-2013,03-10-2014
Archer-Daniels-Midland Co,ADM,Patricia A. Woertz,http://investing.businessweek.com/research/stocks/people/person.asp?personId=656905&capId=251704&previousCapId=251704&previousTitle=ARCHER-DANIELS-MIDLAND%20CO,04-10-2013,03-10-2014
Assurant Inc,AIZ,Robert B. Pollock,http://investing.businessweek.com/research/stocks/people/person.asp?personId=4085530&capId=4026111&previousCapId=4026111&previousTitle=ASSURANT%20INC,04-10-2013,03-10-2014
AT&T Inc,T,Randall L. Stephenson,http://investing.businessweek.com/research/stocks/people/person.asp?personId=1162489&capId=100231&previousCapId=100231&previousTitle=AT%26T%20INC,04-10-2013,03-10-2014
Autodesk Inc,ADSK,Carl   Bass,http://investing.businessweek.com/research/stocks/people/person.asp?personId=431986&capId=119902&previousCapId=119902&previousTitle=AUTODESK%20INC,04-10-2013,03-10-2014
Automatic Data Processing,ADP,Carlos A. Rodriguez,http://investing.businessweek.com/research/stocks/people/person.asp?personId=11829902&capId=126269&previousCapId=126269&previousTitle=AUTOMATIC%20DATA%20PROCESSING,04-10-2013,03-10-2014
AutoNation Inc,AN,Michael J. Jackson,http://investing.businessweek.com/research/stocks/people/person.asp?personId=186738&capId=112302&previousCapId=112302&previousTitle=AUTONATION%20INC,04-10-2013,03-10-2014
AutoZone Inc,AZO,William C. Rhodes III,http://investing.businessweek.com/research/stocks/people/person.asp?personId=170119&capId=25307&previousCapId=25307&previousTitle=AUTOZONE%20INC,04-10-2013,03-10-2014
AvalonBay Communities Inc,AVB,Timothy J. Naughton,http://investing.businessweek.com/research/stocks/people/person.asp?personId=329171&capId=329141&previousCapId=329141&previousTitle=AVALONBAY%20COMMUNITIES%20INC,04-10-2013,03-10-2014
Avery Dennison Corp,AVY,Dean A. Scarborough,http://investing.businessweek.com/research/stocks/people/person.asp?personId=252982&capId=252978&previousCapId=252978&previousTitle=AVERY%20DENNISON%20CORP,04-10-2013,03-10-2014
Avon Products,AVP,Sherilyn S. McCoy,http://investing.businessweek.com/research/stocks/people/person.asp?personId=33334893&capId=253132&previousCapId=253132&previousTitle=AVON%20PRODUCTS%20INC,04-10-2013,03-10-2014
Baker Hughes Inc,BHI,Martin S. Craighead,http://investing.businessweek.com/research/stocks/people/person.asp?personId=20821711&capId=19007&previousCapId=19007&previousTitle=BAKER%20HUGHES%20INC,04-10-2013,03-10-2014
Ball Corp,BLL,John A. Hayes,http://investing.businessweek.com/research/stocks/people/person.asp?personId=170384&capId=170352&previousCapId=170352&previousTitle=BALL%20CORP,04-10-2013,03-10-2014
Bank of America Corp,BAC,Brian T. Moynihan,http://investing.businessweek.com/research/stocks/people/person.asp?personId=176502&capId=19049&previousCapId=19049&previousTitle=BANK%20OF%20AMERICA%20CORP,04-10-2013,03-10-2014
Bard C.R. Inc,BCR,Timothy M. Ring,http://investing.businessweek.com/research/stocks/people/person.asp?personId=254177&capId=254131&previousCapId=254131&previousTitle=CR%20BARD%20INC,04-10-2013,03-10-2014
Baxter Intl Inc,BAX,Robert L. Parkinson Jr.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=247487&capId=254571&previousCapId=254571&previousTitle=BAXTER%20INTERNATIONAL%20INC,04-10-2013,03-10-2014
BB&T Corp,BBT,Kelly S. King,http://investing.businessweek.com/research/stocks/people/person.asp?personId=188549&capId=19109&previousCapId=19109&previousTitle=BB%26T%20CORP,04-10-2013,03-10-2014
Beam Inc,BEAM,Matthew John Shattock,http://investing.businessweek.com/research/stocks/people/person.asp?personId=9962038&capId=249999&previousCapId=249999&previousTitle=BEAM%20INC,04-10-2013,03-10-2014
Becton Dickinson & Co,BDX,Vincent A. Forlenza BD,http://investing.businessweek.com/research/stocks/people/person.asp?personId=170690&capId=103678&previousCapId=103678&previousTitle=BECTON%20DICKINSON%20AND%20CO,04-10-2013,03-10-2014
Bed Bath & Beyond Inc,BBBY,Steven H. Temares,http://investing.businessweek.com/research/stocks/people/person.asp?personId=321784&capId=321778&previousCapId=321778&previousTitle=BED%20BATH%20%26%20BEYOND%20INC,04-10-2013,03-10-2014
Bemis Co Inc,BMS,Henry J. Theisen,http://investing.businessweek.com/research/stocks/people/person.asp?personId=2117673&capId=255132&previousCapId=255132&previousTitle=BEMIS%20COMPANY,04-10-2013,03-10-2014
Berkshire Hathaway B,BRK.B,Warren E. Buffett,http://investing.businessweek.com/research/stocks/people/person.asp?personId=255253&capId=255251&previousCapId=255251&previousTitle=BERKSHIRE%20HATHAWAY%20INC-CL%20B,04-10-2013,03-10-2014
Best Buy Co Inc,BBY,Hubert   Joly,http://investing.businessweek.com/research/stocks/people/person.asp?personId=1529854&capId=255397&previousCapId=255397&previousTitle=BEST%20BUY%20CO%20INC,04-10-2013,03-10-2014
Biogen Idec Inc,BIIB,George A. Scangos Ph.D.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=1117457&capId=29726&previousCapId=29726&previousTitle=BIOGEN%20IDEC%20INC,04-10-2013,03-10-2014
BlackRock Inc,BLK,Laurence Douglas Fink,http://investing.businessweek.com/research/stocks/people/person.asp?personId=402029&capId=294585&previousCapId=403413&previousTitle=BLACKROCK%20INC,04-10-2013,03-10-2014
Block H & R Inc,HRB,William C. Cobb,http://investing.businessweek.com/research/stocks/people/person.asp?personId=1124114&capId=276601&previousCapId=276601&previousTitle=H%26R%20BLOCK%20INC,04-10-2013,03-10-2014
Boeing Co,BA,W. James McNerney Jr.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=601239&capId=370857&previousCapId=370857&previousTitle=BOEING%20CO%2FTHE,04-10-2013,03-10-2014
Borgwarner Inc,BWA,James R. Verrier,http://investing.businessweek.com/research/stocks/people/person.asp?personId=84114414&capId=25708&previousCapId=25708&previousTitle=BORGWARNER%20INC,04-10-2013,03-10-2014
