
GOOG
FB
YHOO
Industry
Company
Symbol
Price
Change
Market Cap
P/E

YHOO
AOL
GOOG
Industry
Company
Symbol
Price
Change
Market Cap
P/E

AAPL
BBRY
GOOG
HPQ
Industry
CFN,
CFN,CFN
CFN,BAX
CFN,BDX
CFN,OMCL
KMX,
KMX,KMX
KMX,AN
KMX,PAG
CCL,
CCL,CCL
CCL,RCL
CAT,
CAT,CAT
CAT,DE
CAT,KMTUY
CAT,VOLVY
CBG,
CBG,CBG
CBG,JLL
CBS,
CBS,CBS
CBS,FOXA
CBS,DIS
CELG,
CELG,CELG
CELG,JNJ
CNP,
CNP,CNP
CNP,AEP
CNP,XEL
CTL,
CTL,CTL
CTL,T
CTL,VZ
CERN,
CERN,CERN
CERN,MDRX
CERN,MCK
CF,
CF,CF
CF,AGU
CF,POT
CHRW,
CHRW,CHRW
CHRW,EXPD
CHRW,FDP
CHK,
CHK,CHK
CHK,APC
CHK,BP
CHK,COP
CVX,
CVX,CVX
CVX,BP
CVX,XOM
CVX,RDS
CMG,
CMG,CMG
CB,
CB,CB
CB,AIG
CB,CNA
CB,TRV
CI,
CI,CI
CI,AET
CI,UNH
CI,WLP
CINF,
CINF,CINF
CINF,AFG
CINF,PGR
CTAS,
CTAS,CTAS
CTAS,ARMK
CTAS,GKSR
CSCO,
CSCO,CSCO
CSCO,ALU
CSCO,HPQ
CSCO,JNPR
C,
C,C
C,BAC
C,HSBC
C,JPM
CTXS,
CTXS,CTXS
CTXS,CSCO
CTXS,LOGM
CTXS,VMW
CLF,
CLF,CLF
CLF,ANR
CLF,CNX
CLF,BTU
CLX,
CLX,CLX
CLX,CL
CLX,PG
CME,
CME,CME
CME,CBOE
CME,NDAQ
CMS,
CMS,CMS
CMS,AEP
CMS,DTE
CMS,XEL
COH,
COH,COH
KO,
KO,KO
KO,DPS
KO,NSRGY
KO,PEP
CCE,
CCE,CCE
CCE,DANOY
CCE,NSRGY
CCE,PEP
CTSH,
CTSH,CTSH
CTSH,INFY
CTSH,WIT
CL,
CL,CL
CL,CHD
CL,CLX
CL,PG
CMCSA,
CMCSA,CMCSA
CMCSA,DTV
CMCSA,DISH
CMA,
CMA,CMA
CMA,BAC
CMA,C
CMA,WFC
CSC,
CSC,CSC
CSC,ACN
CAG,
CAG,CAG
CAG,KRFT
CAG,NSRGY
COP,
COP,COP
COP,BP
COP,XOM
COP,RDS
CNX,
CNX,CNX
CNX,ANR
CNX,ACI
CNX,BTU
ED,
ED,ED
ED,AEP
STZ,
STZ,STZ
STZ,HINKF
GLW,
GLW,GLW
GLW,FUWAY
GLW,SMTOY
COST,
COST,COST
COST,TGT
COST,WMT
COV,
COV,COV
COV,BDX
COV,BCR
COV,JNJ
CCI,
CCI,CCI
CCI,AMT
CCI,SBAC
CSX,
CSX,CSX
CSX,NSC
CSX,UNP
CMI,
CMI,CMI
CMI,CAT
CMI,NAV
CVS,
CVS,CVS
CVS,ESRX
CVS,WAG
CVS,WMT
DHR,
DHR,DHR
DHR,GE
DHR,SPW
DRI,
DRI,DRI
DRI,DIN
DVA,
DVA,DVA
DE,
DE,DE
DE,CAT
DE,CNH
DE,KUBTY
DLPH,
DLPH,DLPH
DLPH,DNZOY
DLPH,MGA
DAL,
DAL,DAL
DAL,AAL
DAL,UAL
DNR,
DNR,DNR
DNR,NFX
DNR,SFY
XRAY,
XRAY,XRAY
XRAY,SIRO
DVN,
DVN,DVN
DVN,CHK
DVN,ECA
DVN,EOG
DO,
DO,DO
DO,ESV
DO,NE
DO,RIG
DTV,
DTV,DTV
DTV,CMCSA
DTV,DISH
DFS,
DFS,DFS
DFS,AXP
DFS,MA
DFS,V
DISCA,
DISCA,DISCA
DISCA,VIA
DG,
DG,DG
DG,DLTR
DG,FDO
DG,WMT
DLTR,
DLTR,DLTR
DLTR,DG
DLTR,FDO
D,
D,D
D,AEP
D,CNP
D,NI
DOV,
DOV,DOV
DOV,DHR
DOV,IR
DOV,WFT
DOW,
DOW,DOW
DOW,BASFY
DOW,DD
DPS,
DPS,DPS
DPS,KO
DPS,MNST
DPS,PEP
DTE,
DTE,DTE
DTE,CMS
DTE,TEG
DTE,WEC
DUK,
DUK,DUK
DUK,AEP
DUK,CNP
DNB,
DNB,DNB
DNB,EFX
ETFC,
ETFC,ETFC
ETFC,SCHW
ETFC,AMTD
DD,
DD,DD
DD,BASFY
DD,DOW
EMN,
EMN,EMN
EMN,BASFY
EMN,CE
ETN,
ETN,ETN
ETN,ITT
ETN,JCI
ETN,PH
EBAY,
EBAY,EBAY
EBAY,AMZN
EBAY,GOOG
EBAY,OSTK
ECL,
ECL,ECL
EIX,
EIX,EIX
EIX,AES
EIX,PCG
EIX,SRE
EW,
EW,EW
EW,ICUI
EW,MDT
EW,STJ
EA,
EA,EA
EA,ATVI
EA,NTDOY
EMC,
EMC,EMC
EMC,HPQ
EMC,IBM
EMR,
EMR,EMR
EMR,ABB
EMR,GE
EMR,HTHIY
ESV,
ESV,ESV
ESV,DO
ESV,NBR
ESV,RIG
ETR,
ETR,ETR
ETR,AEP
ETR,CNP
ETR,SO
EOG,
EOG,EOG
EOG,APC
EOG,APA
EOG,SOQ
EQT,
EQT,EQT
EQT,COG
EQT,D
EQT,NI
EFX,
EFX,EFX
EFX,ADP
EQR,
EQR,EQR
EQR,AIV
EQR,UDR
EL,
EL,EL
EL,COTY
EL,LRLCY
EL,PG
EXC,
EXC,EXC
EXC,AEE
EXC,DYN
EXC,PPL
EXPE,
EXPE,EXPE
EXPE,OWW
EXPE,PCLN
EXPD,
EXPD,EXPD
ESRX,
ESRX,ESRX
ESRX,CTRX
XOM,
XOM,XOM
XOM,BP
XOM,CVX
XOM,RDS
FFIV,
FFIV,FFIV
FFIV,CSCO
FFIV,CTXS
FFIV,JNPR
FB,
FB,FB
FB,GOOG
FB,MSFT
FB,TWTR
FDO,
FDO,FDO
FDO,DG
FDO,DLTR
FDO,WMT
FAST,
FAST,FAST
FAST,HDS
FAST,MSM
FAST,GWW
FDX,
FDX,FDX
FDX,UPS
FIS,
FIS,FIS
FIS,DST
FIS,FISV
FITB,
FITB,FITB
FITB,BAC
FITB,PNC
FITB,USB
FSLR,
FSLR,FSLR
FSLR,SHCAY
FSLR,STPFQ
FE,
FE,FE
FE,AEP
FE,D
FE,PEG
FISV,
FISV,FISV
FISV,FIS
FISV,JKHY
FLIR,
FLIR,FLIR
FLIR,LLL
FLIR,LMT
FLS,
FLS,FLS
FLS,ITT
FLS,MXCYY
FLR,
FLR,FLR
FLR,JEC
FMC,
FMC,FMC
FMC,DOW
FMC,DD
FTI,
FTI,FTI
FTI,AKKVF
FTI,CAM
F,
F,F
F,GM
F,TM
FRX,
FRX,FRX
FRX,LLY
FRX,NVS
FRX,PFE
FOSL,
FOSL,FOSL
FOSL,GES
BEN,
BEN,BEN
FCX,
FCX,FCX
FCX,NEM
FCX,SCCO
FTR,
FTR,FTR
FTR,T
FTR,CTL
FTR,FRP
GME,
GME,GME
GME,AMZN
GME,BBY
GME,WMT
GCI,
GCI,GCI
GCI,MNI
GCI,NYT
GPS,
GPS,GPS
GPS,AEO
GPS,TJX
GRMN,
GRMN,GRMN
GD,
GD,GD
GD,BA
GD,LMT
GD,TXT
GE,
GE,GE
GE,C
GE,PHG
GE,SI
GGP,
GGP,GGP
GGP,CBL
GGP,MAC
GGP,SPG
GIS,
GIS,GIS
GIS,DANOY
GIS,K
GIS,SENEA
GM,
GM,GM
GM,F
GM,TM
GPC,
GPC,GPC
GPC,AAP
GPC,AZO
GPC,GWW
GNW,
GNW,GNW
GNW,MET
GNW,PRU
GILD,
GILD,GILD
GILD,GSK
GILD,PFE
GILD,RHHBY
GS,
GS,GS
GS,JPM
GS,MS
GT,
GT,GT
GT,BRDCY
GT,CTTAY
GOOG,
GOOG,GOOG
GOOG,FB
GOOG,YHOO
GHC,
GHC,GHC
GHC,APOL
GWW,
GWW,GWW
GWW,AIT
GWW,WCC
HAL,
HAL,HAL
HAL,BHI
HAL,SLB
HAL,TKPPY
HOG,
HOG,HOG
HAR,
HAR,HAR
HRS,
HRS,HRS
HRS,BA
HRS,GD
HRS,RTN
HIG,
HIG,HIG
HIG,AIG
HIG,BRK-A
HAS,
HAS,HAS
HAS,JAKK
HAS,MAT
HCP,
HCP,HCP
HCP,HCN
HCP,HR
HCP,VTR
HCN,
HCN,HCN
HCN,HCP
HCN,NHI
HCN,VTR
HP,
HP,HP
HP,NBR
HP,NE
HP,RIG
HSY,
HSY,HSY
HSY,MDLZ
HSY,NSRGY
HES,Company
HES,Symbol
HES,Price
HES,Change
HES,Market Cap
HES,P/E
HES,Company
HES,Symbol
HES,Price
HES,Change
HES,Market Cap
HES,P/E
HES,Company
HES,Symbol
HES,Price
HES,Change
HES,Market Cap
HES,P/E
HPQ,
HPQ,HPQ
HPQ,ACN
HPQ,IBM
HD,
HD,HD
HD,LOW
HON,
HON,HON
HON,BWA
HON,JCI
HON,UTX
HRL,
HRL,HRL
HRL,CAG
HRL,TSN
DHI,
DHI,DHI
DHI,KBH
DHI,LEN
DHI,PHM
HSP,
HSP,HSP
HSP,BAX
HST,
HST,HST
HST,AHT
HST,FCH
HST,LHO
HCBK,
HCBK,HCBK
HCBK,BAC
HCBK,JPM
HUM,
HUM,HUM
HUM,AET
HUM,CI
HUM,UNH
HBAN,
HBAN,HBAN
HBAN,FITB
HBAN,JPM
HBAN,KEY
ITW,
ITW,ITW
ITW,CMI
ITW,GE
ITW,MTW
IR,
IR,IR
IR,JCI
TEG,
TEG,TEG
TEG,LNT
TEG,WEC
INTC,
INTC,INTC
INTC,AMD
INTC,TXN
ICE,
ICE,ICE
ICE,CME
IPG,
IPG,IPG
IPG,OMC
IPG,PUBGY
IPG,WPPGY
IBM,
IBM,IBM
IBM,ACN
IBM,HPQ
IBM,MSFT
IFF,
IFF,IFF
IGT,
IGT,IGT
IGT,BYI
IP,
IP,IP
IP,UFS
IP,MWV
IP,UPMKY
INTU,
INTU,INTU
INTU,ADP
INTU,HRB
INTU,SGPYY
ISRG,
ISRG,ISRG
ISRG,ARAY
ISRG,MDT
IVZ,
IVZ,IVZ
IRM,
IRM,IRM
IRM,ANCPA
IRM,CTAS
JBL,
JBL,JBL
JBL,FLEX
JBL,HNHAF
JBL,SANM
JEC,
JEC,JEC
JEC,FLR
JEC,FWLT
JNJ,
JNJ,JNJ
JNJ,COV
JNJ,NVS
JNJ,PFE
JCI,
JCI,JCI
JCI,LEA
JCI,MGA
JCI,RTN
JOY,
JOY,JOY
JOY,CAT
JOY,MXCYY
JOY,SDVKY
JPM,
JPM,JPM
JPM,BAC
JPM,BCS
JPM,C
JNPR,
JNPR,JNPR
JNPR,ALU
JNPR,CSCO
KSU,
KSU,KSU
KSU,GPOVY
KSU,UNP
K,
K,K
K,GIS
K,NSRGY
KEY,
KEY,KEY
KEY,BAC
KEY,USB
KMB,
KMB,KMB
KMB,ENR
KMB,PG
KIM,
KIM,KIM
KIM,CBL
KIM,SPG
KIM,WRI
KMI,
KMI,KMI
KMI,EPD
KMI,WMB
KLAC,
KLAC,KLAC
KLAC,AMAT
KLAC,ASML
KSS,
KSS,KSS
KSS,TGT
KSS,TJX
KRFT,
KRFT,KRFT
KRFT,CAG
KRFT,HSH
KRFT,NSRGY
KR,
KR,KR
KR,COST
KR,TGT
KR,WMT
LB,
LB,LB
LB,GPS
LB,HBI
LLL,
LLL,LLL
LLL,HON
LLL,LMT
LLL,RTN
LH,
LH,LH
LH,BRLI
LH,DGX
LRCX,
LRCX,LRCX
LRCX,AMAT
LM,
LM,LM
LM,BLK
LEG,
LEG,LEG
LEG,FLXS
LEG,GPC
LEN,
LEN,LEN
LEN,DHI
LEN,KBH
LEN,PHM
LUK,
LUK,LUK
LUK,AINV
LUK,BX
LLY,
LLY,LLY
LLY,GSK
LLY,PFE
LLY,SNY
LNC,
LNC,LNC
LNC,PRU
LLTC,
LLTC,LLTC
LLTC,ADI
LLTC,MXIM
LLTC,TXN
LMT,
LMT,LMT
LMT,BA
LMT,NOC
LMT,RTN
L,
L,L
L,AIG
L,RIG
L,TRV
LO,
LO,LO
LO,RAI
LOW,
LOW,LOW
LOW,HD
LSI,
LSI,LSI
LSI,MRVL
LSI,NXPI
LSI,STM
MTB,
MTB,MTB
MTB,KEY
MTB,PNC
MAC,
MAC,MAC
MAC,GGP
MAC,SPG
MAC,TCO
M,
M,M
M,DDS
MRO,
MRO,MRO
MRO,CVX
MRO,XOM
MRO,RDS
MPC,
MPC,MPC
MPC,CVX
MPC,XOM
MPC,VLO
MAR,
MAR,MAR
MAR,HLT
MAR,IHG
MMC,
MMC,MMC
MMC,ACN
MMC,AON
MMC,WSH
MAS,
MAS,MAS
MA,
MA,MA
MA,AXP
MA,DFS
MA,V
MAT,
MAT,MAT
MAT,HAS
MAT,JAKK
MKC,
MKC,MKC
MCD,
MCD,MCD
MCD,BKW
MCD,YUM
MHFI,
MHFI,MHFI
MHFI,HMHC
MHFI,PSO
MCK,
MCK,MCK
MCK,ABC
MCK,CAH
MCK,OMI
MJN,
MJN,MJN
MJN,DANOY
MJN,NSRGY
MWV,
MWV,MWV
MWV,IP
MWV,WY
MDT,
MDT,MDT
MDT,BSX
MDT,JNJ
MDT,STJ
MRK,
MRK,MRK
MRK,GSK
MRK,NVS
MRK,PFE
MET,
MET,MET
MET,AZSEY
MET,AIG
MET,PRU
KORS,
KORS,KORS
KORS,RL
MCHP,
MCHP,MCHP
MCHP,STM
MU,
MU,MU
MSFT,
MSFT,MSFT
MSFT,AAPL
MSFT,GOOG
MSFT,ORCL
MHK,
MHK,MHK
MHK,TILE
TAP,
TAP,TAP
TAP,BUD
TAP,HINKF
MDLZ,
MDLZ,MDLZ
MDLZ,NSRGY
MON,
MON,MON
MON,BASFY
MON,SYT
MNST,
MNST,MNST
MNST,PEP
MCO,
MCO,MCO
MCO,DNB
MS,
MS,MS
MS,GS
MOS,
MOS,MOS
MOS,POT
MSI,
MSI,MSI
MSI,HRS
MSI,HON
MUR,
MUR,MUR
MUR,BP
MUR,XOM
MUR,RDS
MYL,
MYL,MYL
MYL,ACT
MYL,TEVA
NBR,
NBR,NBR
NBR,DO
NBR,ESV
NBR,PTEN
NDAQ,
NDAQ,NDAQ
NDAQ,CME
NDAQ,NYX
NOV,
NOV,NOV
NOV,AKKVF
NOV,HAL
NOV,WFT
NTAP,
NTAP,NTAP
NTAP,EMC
NTAP,HPQ
NFLX,
NFLX,NFLX
NFLX,AMZN
NWL,
NWL,NWL
NWL,AVY
NWL,BEAM
NFX,
NFX,NFX
NFX,COG
NFX,FST
NFX,MRO
NEM,
NEM,NEM
NEM,AU
NEM,ABX
NEM,GG
NEE,
NEE,NEE
NEE,SO
NEE,TE
NLSN,
NLSN,NLSN
NKE,
NKE,NKE
NKE,ADDYY
NI,
NI,NI
NI,D
NI,DUK
NI,FE
NE,
NE,NE
NE,DO
NE,NBR
NE,RIG
NBL,
NBL,NBL
NBL,AXAS
NBL,APC
NBL,APA
JWN,
JWN,JWN
NSC,
NSC,NSC
NSC,CNI
NSC,CSX
NSC,UNP
NU,
NU,NU
NU,NI
NTRS,
NTRS,NTRS
NTRS,BK
NTRS,JPM
NTRS,STT
NOC,
NOC,NOC
NOC,BA
NOC,GD
NOC,LMT
NRG,
NRG,NRG
NRG,AES
NRG,AEP
NRG,CPN
NUE,
NUE,NUE
NUE,STLD
NUE,X
NVDA,
NVDA,NVDA
NVDA,AMD
NVDA,INTC
NVDA,QCOM
ORLY,
ORLY,ORLY
ORLY,AAP
ORLY,AZO
ORLY,GPC
OXY,
OXY,OXY
OXY,DD
OXY,XOM
OXY,RDS
OMC,
OMC,OMC
OMC,IPG
OMC,PUBGY
OMC,WPPGY
OKE,
OKE,OKE
OKE,DYN
OKE,EPD
OKE,OGE
ORCL,
ORCL,ORCL
ORCL,IBM
ORCL,MSFT
ORCL,SAP
OI,
OI,OI
OI,SLGN
PCAR,
PCAR,PCAR
PCAR,NAV
PCAR,VOLVY
PLL,
PLL,PLL
PH,
PH,PH
PH,ETN
PH,EMR
PH,HON
PDCO,
PDCO,PDCO
PDCO,XRAY
PDCO,HSIC
PDCO,MWIV
PAYX,
PAYX,PAYX
PAYX,ADP
PAYX,NSP
BTU,
BTU,BTU
BTU,ACI
BTU,BHP
BTU,CNX
PNR,
PNR,PNR
PNR,AOS
PNR,EMR
PBCT,
PBCT,PBCT
PBCT,BAC
POM,
POM,POM
POM,AEP
POM,FE
PEP,
PEP,PEP
PEP,KO
PEP,DPS
PEP,MDLZ
PRGO,
PRGO,PRGO
PRGO,ACT
PRGO,RDY
PETM,
PETM,PETM
PETM,TGT
PETM,WMT
PFE,
PFE,PFE
PFE,MRK
PFE,NVS
PFE,SNY
PCG,
PCG,PCG
PCG,EIX
PCG,SRE
PM,
PM,PM
PM,BTI
PM,ITYBY
PSX,
PSX,PSX
PSX,MPC
PSX,VLO
PNW,
PNW,PNW
PNW,SWX
PNW,UNS
PXD,
PXD,PXD
PXD,APA
PXD,BP
PXD,CHK
PBI,
PBI,PBI
PBI,SI
PBI,XRX
PCL,
PCL,PCL
PCL,LPX
PCL,PCH
PCL,WY
PNC,
PNC,PNC
PNC,BAC
PNC,JPM
PPG,
PPG,PPG
PPL,
PPL,PPL
PPL,AEP
PPL,EXC
PPL,FE
PX,
PX,PX
PX,APD
PX,AIQUY
PX,LNAGF
PCP,
PCP,PCP
PCP,AA
PCLN,
PCLN,PCLN
PCLN,EXPE
PCLN,OWW
PFG,
PFG,PFG
PFG,AXAHY
PFG,LNC
PG,
PG,PG
PG,JNJ
PG,KMB
PGR,
PGR,PGR
PGR,ALL
PLD,
PLD,PLD
PLD,FR
PLD,PSB
PRU,
PRU,PRU
PRU,AIG
PRU,MET
PEG,
PEG,PEG
PEG,ED
PEG,FE
PSA,
PSA,PSA
PSA,UHAL
PSA,CUBE
PSA,SSS
PHM,
PHM,PHM
PHM,DHI
PHM,KBH
PHM,LEN
PVH,
PVH,PVH
PVH,JNY
PVH,PERY
PVH,RL
QEP,
QEP,QEP
QEP,COG
QEP,ETP
QEP,EPD
QCOM,
QCOM,QCOM
QCOM,BRCM
QCOM,NOK
QCOM,TXN
PWR,
PWR,PWR
PWR,EME
PWR,IESC
PWR,MYRG
DGX,
DGX,DGX
DGX,BRLI
DGX,LH
RL,
RL,RL
RL,JNY
RL,KATE
RL,PVH
RRC,
RRC,RRC
RRC,CHK
RRC,XOM
RTN,
RTN,RTN
RTN,BA
RTN,LMT
RTN,NOC
RHT,
RHT,RHT
RHT,MSFT
RHT,ORCL
REGN,
REGN,REGN
REGN,AMGN
REGN,NVS
REGN,RHHBY
RF,
RF,RF
RF,BAC
RF,BBT
RF,STI
RSG,
RSG,RSG
RSG,WCN
RSG,WM
RAI,
RAI,RAI
RAI,LO
RAI,VGR
RHI,
RHI,RHI
RHI,MAN
ROK,
ROK,ROK
ROK,ABB
ROK,EMR
ROK,SI
COL,
COL,COL
COL,BAESY
COL,RTN
ROP,
ROP,ROP
ROP,DHR
ROP,DOV
ROP,IR
ROST,
ROST,ROST
ROST,KSS
ROST,TJX
ROST,WMT
RDC,
RDC,RDC
RDC,DO
RDC,ESV
RDC,RIG
R,
R,R
R,CNW
SWY,
SWY,SWY
SWY,COST
SWY,KR
SWY,WMT
CRM,
CRM,CRM
CRM,ORCL
CRM,SAP
SNDK,
SNDK,SNDK
SNDK,SNE
SCG,
SCG,SCG
SCG,D
SCG,DUK
SLB,
SLB,SLB
SLB,BHI
SLB,HAL
SLB,WFT
SCHW,
SCHW,SCHW
SCHW,ETFC
SNI,
SNI,SNI
SNI,DISCA
STX,
STX,STX
STX,SNDK
STX,WDC
SEE,
SEE,SEE
SEE,BMS
SEE,SON
SRE,
SRE,SRE
SRE,EIX
SRE,PCG
SHW,
SHW,SHW
SHW,DD
SHW,PPG
SIAL,
SIAL,SIAL
SIAL,BAYRY
SPG,
SPG,SPG
SPG,GGP
SPG,MAC
SPG,VNO
SLM,
SLM,SLM
SLM,BAC
SLM,KEY
SJM,
SJM,SJM
SJM,CAG
SJM,MDLZ
SNA,
SNA,SNA
SNA,DHR
SNA,HD
SNA,SWK
SO,
SO,SO
SO,CNP
SO,ETR
SO,NEE
LUV,
LUV,LUV
LUV,AAL
LUV,DAL
LUV,JBLU
SWN,
SWN,SWN
SWN,COG
SWN,CHK
SWN,WMB
SE,
SE,SE
SE,DYN
SE,EPD
SE,KMI
STJ,
STJ,STJ
STJ,BSX
STJ,EW
STJ,MDT
SWK,
SWK,SWK
SWK,DHR
SWK,MKTAY
SPLS,
SPLS,SPLS
SPLS,AMZN
SPLS,ODP
SPLS,USTR
SBUX,
SBUX,SBUX
SBUX,DNKN
SBUX,MCD
SBUX,NSRGY
HOT,
HOT,HOT
HOT,HLT
HOT,H
HOT,MAR
STT,
STT,STT
STT,BK
STT,JPM
STT,NTRS
SRCL,
SRCL,SRCL
SRCL,RSG
SRCL,WM
SYK,
SYK,SYK
SYK,ZMH
STI,
STI,STI
STI,BAC
STI,BBT
STI,WFC
SYMC,
SYMC,SYMC
SYMC,MSFT
SYY,
SYY,SYY
TROW,
TROW,TROW
TGT,
TGT,TGT
TGT,COST
TGT,WMT
TEL,
TEL,TEL
TEL,ALU
TEL,GLW
TE,
TE,TE
TE,NEE
TE,SO
THC,
THC,THC
THC,HCA
THC,UHS
TDC,
TDC,TDC
TDC,EMC
TDC,IBM
TDC,ORCL
TSO,
TSO,TSO
TSO,HFC
TSO,VLO
TXN,
TXN,TXN
TXN,QCOM
TXN,STM
TXT,
TXT,TXT
TXT,GE
TXT,UTX
ADT,
ADT,ADT
BK,
BK,BK
BK,BCS
BK,JPM
BK,STT
WMB,
WMB,WMB
WMB,DYN
WMB,XOM
WMB,KMI
TMO,
TMO,TMO
TMO,A
TMO,BDX
TIF,
TIF,TIF
TWX,
TWX,TWX
TWX,FOXA
